measurment_data,sample,temperature,z_average,dispersity,mean_count_rate,volume_mean,intensity_mean,number_mean,file,np_formulation,substance_code,polymer_class,polymer,smiles_monomer,smiles_ru,mn,pdi,mn_method,tg,date,additive,polymer_concentration
"Mittwoch, 10. Juni 2020 12:58:31",A1 1,25.0,164.9,0.107,152.4,175.2,180.1,136.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 12:58:41",A1 2,25.0,161.7,0.17,147.7,437.7,257.4,125.5,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 12:58:52",A1 3,25.0,158.9,0.187,151.9,187.1,201.1,94.09,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 12:59:27",A2 1,25.0,377.3,0.319,183.2,1547.0,849.4,268.4,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 12:59:38",A2 2,25.0,363.0,0.247,180.2,365.7,354.4,321.7,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 12:59:49",A2 3,25.0,389.7,0.244,182.0,388.5,374.7,340.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 13:00:27",A3 1,25.0,279.3,0.273,443.1,885.8,577.2,175.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 13:00:38",A3 2,25.0,262.3,0.262,432.8,623.2,369.6,164.2,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 13:00:49",A3 3,25.0,271.5,0.195,429.0,315.0,303.2,248.2,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,1
"Mittwoch, 10. Juni 2020 13:01:24",A4 1,25.0,221.7,0.147,291.7,248.7,243.6,173.3,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:01:35",A4 2,25.0,224.0,0.127,287.0,256.5,250.2,190.3,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:01:46",A4 3,25.0,220.6,0.20600000000000002,298.8,605.9,323.1,181.1,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:02:17",A5 1,25.0,211.2,0.21899999999999997,293.4,776.2,378.0,166.5,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:02:28",A5 2,25.0,211.9,0.153,289.6,262.8,254.0,142.4,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:02:39",A5 3,25.0,222.1,0.11599999999999999,295.8,254.9,250.1,201.0,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:03:10",A6 1,25.0,225.6,0.18100000000000002,316.6,235.9,233.0,191.0,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:03:20",A6 2,25.0,226.5,0.135,309.8,246.4,242.2,197.3,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:03:31",A6 3,25.0,225.0,0.18100000000000002,308.5,651.7,384.9,168.5,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,1
"Mittwoch, 10. Juni 2020 13:04:13",B1 1,25.0,193.3,0.255,251.5,943.6,451.3,141.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:04:24",B1 2,25.0,190.1,0.15,247.7,222.3,228.7,116.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:04:34",B1 3,25.0,189.8,0.193,243.7,230.6,233.4,112.1,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:05:10",B2 1,25.0,188.8,0.18899999999999997,309.1,665.9,354.8,141.0,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:05:21",B2 2,25.0,185.2,0.182,303.1,399.5,298.2,119.5,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:05:32",B2 3,25.0,182.8,0.218,304.7,601.3,306.7,143.8,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:06:05",B3 1,25.0,184.5,0.071,273.5,199.1,203.2,141.1,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:06:16",B3 2,25.0,180.5,0.039,276.8,188.9,189.3,163.3,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:06:27",B3 3,25.0,181.7,0.11199999999999999,275.7,183.0,182.7,165.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,3
"Mittwoch, 10. Juni 2020 13:07:00",B4 1,25.0,343.9,0.336,408.7,1197.0,760.1,236.5,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:07:11",B4 2,25.0,331.3,0.307,410.0,805.1,502.4,186.2,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:07:22",B4 3,25.0,335.2,0.285,411.1,694.0,437.8,137.1,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:07:54",B5 1,25.0,325.1,0.249,429.8,726.6,466.4,262.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:08:05",B5 2,25.0,312.4,0.23600000000000002,428.0,614.7,429.0,185.2,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:08:16",B5 3,25.0,326.6,0.294,447.6,1195.0,604.6,246.8,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:08:48",B6 1,25.0,307.1,0.299,388.3,1042.0,671.9,211.1,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:08:59",B6 2,25.0,325.6,0.28800000000000003,406.0,1202.0,781.7,212.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:09:10",B6 3,25.0,316.6,0.341,415.9,1047.0,658.4,177.5,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,3
"Mittwoch, 10. Juni 2020 13:09:48",C1 1,25.0,131.5,0.135,198.3,129.1,146.9,93.91,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:09:59",C1 2,25.0,134.6,0.08199999999999999,201.9,135.2,145.0,109.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:10:10",C1 3,25.0,133.5,0.127,195.3,130.3,154.3,84.68,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:10:42",C2 1,25.0,136.3,0.08900000000000001,440.6,138.5,150.7,106.4,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:10:53",C2 2,25.0,133.4,0.09300000000000001,441.8,133.0,146.0,103.1,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:11:04",C2 3,25.0,133.9,0.11599999999999999,440.4,117.6,153.6,46.01,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:11:38",C3 1,25.0,134.5,0.142,463.3,278.6,200.5,99.53,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:11:49",C3 2,25.0,127.0,0.18600000000000003,459.1,347.6,226.1,95.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:12:00",C3 3,25.0,133.1,0.115,465.9,131.3,150.5,92.22,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,5
"Mittwoch, 10. Juni 2020 13:12:43",C4 1,25.0,311.0,0.31,443.6,1142.0,730.6,209.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:12:54",C4 2,25.0,309.6,0.336,444.9,1093.0,709.4,188.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:13:05",C4 3,25.0,300.8,0.316,433.6,872.2,442.3,210.7,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:13:44",C5 1,25.0,274.8,0.23399999999999999,178.7,667.8,371.3,218.0,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:13:55",C5 2,25.0,291.1,0.222,181.0,787.5,435.8,226.4,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:14:06",C5 3,25.0,274.0,0.29100000000000004,182.8,1456.0,717.4,201.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:14:38",C6 1,25.0,285.0,0.23800000000000002,444.6,710.2,421.7,191.8,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:14:49",C6 2,25.0,284.2,0.266,445.5,956.0,581.5,185.4,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:15:00",C6 3,25.0,274.4,0.304,452.6,990.9,507.5,187.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,5
"Mittwoch, 10. Juni 2020 13:15:36",D1 1,25.0,163.6,0.147,466.7,171.5,177.6,132.0,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:15:47",D1 2,25.0,167.3,0.128,471.4,174.0,180.7,130.3,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:15:58",D1 3,25.0,161.0,0.096,475.8,169.4,171.4,147.0,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:16:29",D2 1,25.0,144.0,0.138,391.4,295.4,209.6,107.3,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:16:40",D2 2,25.0,145.0,0.161,394.2,143.0,152.6,113.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:16:51",D2 3,25.0,148.3,0.17800000000000002,396.7,155.3,185.7,80.53,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:17:23",D3 1,25.0,140.5,0.128,503.3,140.7,160.7,94.54,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:17:34",D3 2,25.0,142.3,0.114,510.1,144.6,160.4,101.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:17:45",D3 3,25.0,141.8,0.114,506.4,143.2,160.1,99.17,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,None,8
"Mittwoch, 10. Juni 2020 13:18:18",D4 1,25.0,262.5,0.233,443.7,862.7,455.7,186.9,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,8
"Mittwoch, 10. Juni 2020 13:18:29",D4 2,25.0,268.1,0.29600000000000004,459.6,1002.0,455.6,203.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,8
"Mittwoch, 10. Juni 2020 13:18:40",D4 3,25.0,258.9,0.282,449.4,995.4,460.6,198.0,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,8
"Mittwoch, 10. Juni 2020 13:19:17",D5 1,25.0,287.2,0.33399999999999996,482.4,1213.0,547.2,198.6,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,8
"Mittwoch, 10. Juni 2020 13:19:28",D5 2,25.0,284.5,0.32299999999999995,495.3,930.0,467.4,192.8,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,8
"Mittwoch, 10. Juni 2020 13:19:39",D5 3,25.0,277.9,0.254,483.9,861.0,427.0,218.3,VAN#73_P2.txt,VAN73_P2,TS-018b,methacrylate,Poly-Isobornyl MA,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,[CH2][C](C)(C(=O)OC1CC2CCC1(C)C2(C)C),18600.0,1.16,SEC13,110.0, 10.06.2020,PVA,8
